player_name,mmr,player_teams,matches,reliable_mmr,stratz_mmr,rank_confidence
Scionara,7582.08,"['Ensō', 'Scion and the 4 plebs', 'good for ducks, good for me', '#Packwatch']",84,True,8000.0,0.84
Fathomorg,7580.53,"['Does This Game have Fall Damage?', 'WeLostThisBros', 'Love & Peace (Right Version)', 'Emotional Damage']",62,True,8000.0,0.62
BORK,7563.35,"['Flex Offenders', 'Glizzy Gobblers']",37,True,8000.0,0.37
spanky,7560.05,['Team Mochi'],82,True,8000.0,0.82
Luigi Mangione,7559.05,"['Heroes of Golf?', 'Ape Express', 'mosin on valley']",33,True,8000.0,0.33
ⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧⅧ,7558.26,"['Flex Offenders', 'Glizzy Gobblers']",39,True,8000.0,0.39
poogie,7558.26,"['Flex Offenders', 'Glizzy Gobblers']",39,True,8000.0,0.39
Dr. UndoneJin,7557.83,"['Team awesome', 'Sounding Club', 'Nocturnal Rainbow', 'Salt the Earth']",52,True,8000.0,0.52
Holoホロ,7542.59,"['Does This Game have Fall Damage?', ""Chicken Joe's Reincarnation Cult"", 'good for ducks, good for me']",45,True,8000.0,0.45
lovell!!!!!!!!!!!!!!!!!!!,7540.04,"['Northern Hog Suckers', 'Dark Horse Tempest ', 'Soy Sauce: Revolution']",106,True,8000.0,1.0
Lake Michigan,7539.78,"['Dark Horse Tempest ', 'Soy Sauce: Revolution']",102,True,8000.0,1.0
Brok3n-,7537.26,"['Scion and the 4 plebs', 'Aogiri Tree', 'Go play offlane']",42,True,8000.0,0.42
ShadowAce,7522.48,"['We Scale Late ', 'Wasted.Creature']",24,True,7300.0,0.24
Imphatic,7520.07,"['Nocturnal Rainbow', 'Salt the Earth']",22,True,7300.0,0.22
Blocka™,7511.59,"['DinoMight', 'Jason Vas Foundation Picks for the Cure']",32,True,8000.0,0.32
Spiroar,7503.45,"['Ensō', 'Dota Under the Influence', 'Team Krill Eater']",28,True,8000.0,0.28
Angrysun,7501.55,"['Dark Horse Storm', 'Dark Horse Tempest ', 'Golf Monday?', 'Dark Horse Vitality']",101,True,8000.0,1.0
KILLAYOUA,7499.22,"['Gucci Coffin', 'Jukes Angels']",27,True,8000.0,0.27
han,7492.82,['Team Mochi'],101,True,8000.0,1.0
hungryphenix,7489.51,['Team Mochi'],99,True,7300.0,0.99
Excaliburracuda,7489.45,"[""Brit I'm a Dog, Woof! Brrr"", 'PSGS', 'Pot Of Greed']",34,True,8000.0,0.34
bulbi,7485.79,"['I am > I was', 'Pot Of Greed', 'WAP', 'Digital Habitat', 'Aogiri Tree', '10toes']",35,True,8000.0,0.35
